date;avg_temp
1944-01-01;2.07603
1944-02-01;-0.7467
1944-03-01;1.58736
1944-04-01;8.40129
1944-05-01;11.3908
1944-06-01;14.4204
1944-07-01;17.8025
1944-08-01;19.9132
1944-09-01;13.89
1944-10-01;8.81261
1944-11-01;3.63846
1944-12-01;-0.4718
1945-01-01;-3.4714
1945-02-01;2.7125
1945-03-01;5.60863
1945-04-01;8.64935
1945-05-01;13.4454
1945-06-01;16.221
1945-07-01;17.8849
1945-08-01;16.7572
1945-09-01;14.0589
1945-10-01;9.83239
1945-11-01;3.3229
1945-12-01;0.77709
1946-01-01;-2.5977
1946-02-01;1.16496
1946-03-01;3.95225
1946-04-01;10.0486
1946-05-01;13.6421
1946-06-01;14.9424
1946-07-01;18.73
1946-08-01;16.9338
1946-09-01;15.1032
1946-10-01;7.53619
1946-11-01;3.65888
1946-12-01;-2.4482
1947-01-01;-4.6628
1947-02-01;-4.0142
1947-03-01;3.05815
1947-04-01;8.65609
1947-05-01;13.9983
1947-06-01;17.4632
1947-07-01;18.9225
1947-08-01;18.6141
1947-09-01;16.9508
1947-10-01;8.69293
1947-11-01;5.04453
1947-12-01;1.57982
1948-01-01;1.83872
1948-02-01;-0.5859
1948-03-01;4.95148
1948-04-01;9.47938
1948-05-01;13.3205
1948-06-01;15.445
1948-07-01;16.6663
1948-08-01;16.9069
1948-09-01;14.6841
1948-10-01;9.39939
1948-11-01;4.74707
1948-12-01;1.6079
1949-01-01;0.99231
1949-02-01;1.24163
1949-03-01;2.5889
1949-04-01;9.75421
1949-05-01;11.9639
1949-06-01;14.1255
1949-07-01;17.3986
1949-08-01;17.1227
1949-09-01;16.386
1949-10-01;10.8227
1949-11-01;3.45568
1949-12-01;2.14119
1950-01-01;-2.5725
1950-02-01;1.76247
1950-03-01;5.13869
1950-04-01;7.20564
1950-05-01;13.7019
1950-06-01;17.449
1950-07-01;17.9638
1950-08-01;18.0454
1950-09-01;13.3508
1950-10-01;8.21627
1950-11-01;3.96492
1950-12-01;-1.076
1951-01-01;1.23758
1951-02-01;1.88352
1951-03-01;2.46002
1951-04-01;7.66069
1951-05-01;11.6439
1951-06-01;15.497
1951-07-01;17.2793
1951-08-01;17.6323
1951-09-01;14.974
1951-10-01;7.57431
1951-11-01;6.60873
1951-12-01;2.57174
1952-01-01;0.03214
1952-02-01;0.04513
1952-03-01;2.81387
1952-04-01;10.6904
1952-05-01;12.3808
1952-06-01;15.426
1952-07-01;18.4354
1952-08-01;18.1255
1952-09-01;10.9728
1952-10-01;7.48377
1952-11-01;1.86095
1952-12-01;-0.4828
1953-01-01;-0.8435
1953-02-01;0.04264
1953-03-01;5.04394
1953-04-01;9.29608
1953-05-01;13.2679
1953-06-01;16.184
1953-07-01;17.6911
1953-08-01;16.88
1953-09-01;13.9093
1953-10-01;10.6405
1953-11-01;4.96951
1953-12-01;2.45462
1954-01-01;-3.4342
1954-02-01;-3.5059
1954-03-01;4.62659
1954-04-01;6.10986
1954-05-01;12.3724
1954-06-01;16.2431
1954-07-01;14.7102
1954-08-01;16.1737
1954-09-01;13.9191
1954-10-01;10.1124
1954-11-01;4.2152
1954-12-01;3.15008
1955-01-01;-1.6062
1955-02-01;-1.708
1955-03-01;0.7893
1955-04-01;7.24932
1955-05-01;10.5725
1955-06-01;14.7491
1955-07-01;17.5568
1955-08-01;17.2402
1955-09-01;13.901
1955-10-01;8.33914
1955-11-01;4.03895
1955-12-01;2.50632
1956-01-01;0.23502
1956-02-01;-5.2025
1956-03-01;3.23154
1956-04-01;5.61293
1956-05-01;12.6353
1956-06-01;13.4277
1956-07-01;17.0464
1956-08-01;14.5585
1956-09-01;14.1453
1956-10-01;8.53104
1956-11-01;2.60816
1956-12-01;1.87456
1957-01-01;0.06604
1957-02-01;3.89416
1957-03-01;6.69388
1957-04-01;7.77953
1957-05-01;9.97011
1957-06-01;16.8158
1957-07-01;17.8238
1957-08-01;15.5013
1957-09-01;12.1974
1957-10-01;9.31166
1957-11-01;4.67256
1957-12-01;0.47611
1958-01-01;-0.2887
1958-02-01;2.03013
1958-03-01;0.01625
1958-04-01;5.52041
1958-05-01;13.4395
1958-06-01;14.6381
1958-07-01;17.1694
1958-08-01;17.2416
1958-09-01;14.9668
1958-10-01;9.56715
1958-11-01;4.30482
1958-12-01;2.505
1959-01-01;-0.1269
1959-02-01;-0.1416
1959-03-01;6.40189
1959-04-01;9.69097
1959-05-01;12.8169
1959-06-01;16.2186
1959-07-01;19.4919
1959-08-01;17.8058
1959-09-01;14.1747
1959-10-01;8.9393
1959-11-01;3.42276
1959-12-01;2.09766
1960-01-01;-0.1774
1960-02-01;0.46828
1960-03-01;4.47038
1960-04-01;7.66705
1960-05-01;12.938
1960-06-01;16.3468
1960-07-01;15.6391
1960-08-01;16.1698
1960-09-01;12.9957
1960-10-01;9.32506
1960-11-01;6.05673
1960-12-01;1.13173
1961-01-01;-0.8983
1961-02-01;4.30972
1961-03-01;6.43812
1961-04-01;10.7239
1961-05-01;10.5117
1961-06-01;16.155
1961-07-01;15.42
1961-08-01;16.1393
1961-09-01;16.6863
1961-10-01;10.8496
